work_title,author,date,div_id,booktitle,div2_id,title_chapter,index_paragraph,latin_text
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_1,,1,"’H μὲν πρὸ ταύτης γραφὴ περιεῖχε τῶν θεοπέμπτων ὀνείρων I
        
         p. 620 Μ.
        
        τοὺς κατὰ τὸ πρῶτον εἶδος ταττομένους, ἐφ᾿ οὗ τὸ θεῖον ἐλέγομεν κατὰ
τὴν ἰδίαν ἐπιβολὴν τὰς ἐν τοῖς ὕπνοις ἐπιπέμπειν φαντασίας. ἐν ταύτῃ
 δ᾿, ὡς ἄν οἷόν τε ᾖ, δηλώσομεν τοὺς ἐφαρμόττοντας τῷ δευτέρῳ."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_2,,1,"δεύτερον
δ’ εἶδος, ἐν ᾧ ὁ ἡμέτερος νοῦς τῷ τῶν ὅλων συγκινούμενος ἐξ
        

        ἑαυτοῦ κατέχεσθαί τε καὶ θεοφορεῖσθαι δοκεῖ, ὡς ἱκανὸς εἶναι προλαμβάνειν
καὶ προγινώσκειν τι τῶν μελλόντων. ὄναρ δ’ ἐστὶ πρῶτον οἰκεῖον
 εἴδει τῷ σημαινομένῳ τὸ φανὲν ἐπὶ τῆς οὐρανοῦ κλίμακος τόδε·"
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_3,,1,"„καὶ
ἐνυπνιάσθη· καὶ ἰδοὺ κλῖμαξ ἐστηριγμένη ἐν τῇ γῇ, ἧς ἡ κεφαλὴ ἀφικνεῖτο
εἰς τὸν οὐρανόν, καὶ 01 ἄγγελοι τοῦ θεοῦ ἀνέβαινον καὶ κατέβαινον
        

        ἐπ’ αὐτῆς· ὁ δὲ κύριος ἐπεστήρικτο ἐπ’ αὐτῆς· καὶ εἶπεν· ἐγώ εἰμι ὁ
        
         Φίλωνος MAG: om. FHP τοὺς ὀνείρους εἶναι transpos. F 1 μὲν MA:
μὲν οὖν GFHP τῶν θεοπέμπτων ὀνείρων hic habct MA: post ταττομένους
transpos. τῶν om. P) GFHP 3 ὑποβολὴν F, ἐπιβουλὴν P2
4 δὲ GFP ἄν om. L δηλώσωμεν Α ἐφαρμόττοντας MA;
ἐφαρμόζοντας ceteri 5 <ἦν>, ἐν coni. Cohn 6 ἑαυτοῦ Η: αὐτοῦ
δοκεῖ MAP: ἐδόκει GFH 7 δέ ἐστι GFHP 8 εἴδει Η: εἴδη G, ἤδη Α,
εἴ τι MFP οὐρανοῦ κλίμακος G (Mang.): οὐρανοκλίμακος ceteri τὸ δὲ
MAFP 9 post ἐνυπνιάσθη add. Ἰακὼβ GFHP 10 οἱ om. Α 11 αὐτῆ G
post prius αὐτῆς· verba καὶ ἰδοὺ κλῖμαξ ἐστηριγμένη ἐν τῆ γῆ ex lin. 9 repet. HP
ὁ δὲ κύριος ἐπεστήρικτο MA: καὶ ὁ add. HP) κύριος ἐστήλωται GFHP αὐτὴ G
ὁ MA, s. s. Η: om. GFP εἰμι] κύριος conicio (v. § 159. 166. 175)
        

         1 ss. cf. Origenem in vol. I p. LXXXXXVII. 2 ss. cf. Posidonium apud Cic.
De div. I 64.
        


        θεὸς Ἀβραὰμ τοῦ πατρός σου καὶ ὁ θεὸς Ἰσαάκ· μὴ φοβοῦ· ἡ γῆ, ἐφ’
ἧς σὺ καθεύδεις, σοὶ δώσω αὐτὴν καὶ τῷ σπέρματί σου, καὶ έσται τὸ
σπέρμα σου ὡς ἡ ἄμμος τῆς γῆς, καὶ πλατυνθήσεται ἐπὶ θάλασσαν
καὶ λίβα καὶ βορρᾶν καὶ ἀνατολάς• καὶ ἐνευλογηθήσονται ἐν σοὶ πᾶσαι
        

        αἱ φυλαὶ τῆς γῆς καὶ <ἐν> τῷ σπέρματί σου. καὶ ἰδοὺ ἐγὼ μετὰ
διαφυλάσσων σε ἐν τῇ ὁδῷ πάσῃ, ᾗ ἄν πορευθῇς· καὶ ἀποστρέψω σε
εἰς τὴν γῆν ταύτην, ὅτι οὐ μή σε ἐγκαταλίπω, ἕως τοῦ ποιῆσαί με πάντα
 ὅσα ἐλάλησα σοι“ (Gen. 28,12—15)."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_4,,1,"προκατασκευὴ δ’ ἐστὶ τῆς φαντασίας ἀναγκαία, ἣν ἀκριβώσαντες εὐμαρῶς ἴσως δυνησόμεθα καὶ τὰ
        

        δηλούμενα ὑπὸ τῆς φαντασίας καταλαβεῖν. τίς οὖν ἡ προκατασκευή;
„καὶ ἐξῆλθε“ φησίν „Ἰακὼβ ἀπὸ τοῦ φρέατος τοῦ ὅρκου καὶ ἐπορεύθη
εἰς Χαρράν, καὶ ἀπήντησε τόπῳ· ἔδυ γὰρ ὁ ἥλιος· καὶ ἔλαβεν ἀπὸ τῶν
λίθων τοῦ τόπου καὶ ἔθηκε πρὸς κεφαλῆς αὐτοῦ, καὶ ἐκοιμήθη ἐν τῷ
τόπῳ ἐκείνῳ“ (ibid. 10. 11)· κἄπειτ’ εὐθύς ἐστι τὸ ὄναρ."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_5,,1,"οὐκοῦν ἄξιον
        

        ἐν ἀρχῇ ταυτὶ τρία διαπορῆσαι· ἓν μὲν τί τὸ τοῦ ὅρκου φρέαρ καὶ διὰ
τί οὕτως ὠνομάσθη, δεύτερον δὲ τίς ἡ Χαρρὰν καὶ διὰ τί ἀπὸ τοῦ
λεχθέντος φρέατος ἐξελθὼν εἰς Χαρρὰν ἔρχεται εὐθύς, τρίτον τίς ὁ τόπος
καὶ διὰ τί, ὅταν γένηται κατ’ αὐτόν, ὁ μὲν ἥλιος δύεται, αὐτὸς δὲ κοιμᾶται."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_6,,1,"Σκοπῶμεν οὖν αὐτίκα τὸ πρῶτον. ἐμοὶ τοίνυν δοκεῖ σύμβολον εἶναι τὸ φρέαρ ἐπιστήμης· οὐ γάρ ἐστιν ἐπιπόλαιος αὐτῆς ἡ φύσις,
        
         1 Ἁβραὰμ fere scribunt HP τοῦ MAG, s. s. H: om. FP ὁ MAH2:
om. GFPH1 ἡ γῆ MA: τὴν γῆν ceteri 2 ἧς] ᾖ AF αὐτὴν
MA: om. ceteri 3 ἡ ἄμμος MA: χοῦς ceteri ὁ s. s. Η2)
3—5 καὶ—σου om. A 3 πλατυνθήσεται Mang. (cf. §
HP, πληθυνθήσονται MGF 4 λίβα καὶ ante ἀντολὰς transp. M
λίβαν F εὐλογηθήσονται G 5 φυλαὶ M: συγγένειαι ceteri
ἐν addidi post σου rep. καὶ ἔσται—σῆς ex lin. 2. 3 M μετὰ
om. MA 6 διαφυλάσσω MA σε s. s. Η ἀποστρέψω MA:
ἐπιστρέψω ceteri 7 ἐγκαταλείπω GL 8 ὅσα MA: ἁ ceteri δέ ἐστι
MAP 9 ἴσως om. G 10 καταλαβεῖν MA: καταλαμβάνειν ceteri
11 prius τοῦ om. FPH1 alterum τοῦ s. s. H2P2, om. F 12 ἀπήντησεν
ἐν τόπω GFHP ἔδυ γὰρ MA (cf. § 72): καὶ ηὐλίσθη ἐκεῖ, ὅτι εἰσῆλθεν ceteri
13 κεφαλὴν H αὑτοῦ v 14 κἄπειτα G εὐθύς MA: εὐθέως ceteri
ἐστι] ἐπὶ G, ἕπεται conicio 15 ταυτὶ τρία MA: τρία ταῦτα ceteri τὸ MA,
s. s. G2H2: om. G1FPH1 post ὅρκου add. τὸ P2 17 λεχθέντος MA: προλεχθέντος
ceteri ἐξελθὼν hic habet MA: post ἔρχεται transpos. GFHP
εὐθὺς GFHP: om. MA 18 κατ’ αὐτοῦ F δύηται GP 20 τὸ]
κοὶ τὸ Α τοίνυν om. MA
        

         21 sqq. cf. Orig. Contra Cels. IV 44 p. 537 (Siegfried, Philo von Alex. p. 356). Ambros.
de Isaac 4,21.
        


        ἀλλὰ πάνυ βαθεῖα· οὐδ’ ἐν φανερῷ πρόκειται, ἀλλ’ ἐν ἀφανεῖ που
κρύπτεσθαι φιλεῖ· οὐδὲ ῥᾳδίως, ἀλλὰ μετὰ πολλῶν πόνων καὶ μόλις
ἀνευρίσκεται. καὶ ταῦτ’ οὐ μόνον ἐπὶ τῶν μεγάλα καὶ ἀμύθητα ὅσα
 θεωρήματα ἐχουσῶν, ἀλλὰ καὶ ἐπὶ τῶν εὐτελεστάτων θεωρεῖται."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_7,,1,"ἣν
γοῦν ἂν ἐθέλῃς ἑλοῦ τῶν τεχνῶν, μή μοι τὴν ἀρίστην, ἀλλὰ τὴν πασῶν
        

        ἀφανεστάτην, ἣν ἐλεύθερος μὲν ἴσως οὐδεὶς ἐν πόλει τραφεὶς ἑκὼν ἐπιτηδεύσειεν
ἄν, ἐν ἀγρῷ δὲ μόλις ἄκων οἰκέτης δυσκόλῳ καὶ δυστρόπῳ
 παλαίων δεσπότῃ βιαζομένῳ πολλὰ δρᾶν τῶν ἀβουλήτων."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_8,,1,"εὑρεθήσεται
γὰρ οὐχ ἁπλοῦν, ἀλλὰ ποικίλον τὸ πρᾶγμα, οὐ θήρᾳ ληπτόν, δυσεύρετον,
δυσπεριγένητον, ἐχθρὸν μὲν ὄκνῳ καὶ ἀμελείᾳ καὶ ῥᾳθυμίᾳ, σπουδῆς
        

        δὲ καὶ φιλοτιμίας ἱδρώτων τε καὶ φροντίδων μεστόν. οὗ χάριν οὐδ’
ὕδωρ ἐν τῷ φρέατι τούτῳ φασὶν οἱ ὀρύττοντες εὑρεῖν (Gen. 26,32),
ἐπειδὴ τὰ τέλη τῶν ἐπιστημῶν οὐ δυσεύρετα μόνον, ἀλλὰ καὶ ἀνεύρετα
 παντελῶς εἶναι συμβέβηκε."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_9,,1,"γραμματικώτερος δὲ διὰ τοῦτο καὶ γεωμετρικώτερος
ἕτερος ἑτέρου γίνεται τῷ τὰς ἐπιτάσεις καὶ παραυξήσεις ἀμήχανον
        

        εἶναι ὅροις περιγραφῆναι· πλείω γὰρ ἀεὶ τῶν εἰς μάθησιν ἡκόντων
τὰ ἀπολειπόμενα ἐκδέχεται καὶ ἐφεδρεύει, ὡς καὶ τὸν ἅπτεσθαι περάτων
ἐπιστήμης ὑπολαμβανόμενον ἡμιτελῆ παρ’ ἑτέρῳ κριτῇ νομίζεσθαι, παρὰ
 δὲ ἀληθείᾳ δικαζούσῃ καὶ ἄρτι ἄρχεσθαι δοκεῖν."
Desomniis(lib.i‑ii),PhiloJudaeus,2014,book_1,,chapter_10,,1,"„βραχὺς μὲν γὰρ ὁ
βίος,“ ἔφη τις, „ἡ δὲ τέχνη μακρά,“ ἧς ἄριστα καταλαμβάνει τὸ μέγεθος
        


         1 ἀφανεῖ] ἁ s. s. G2 3 post ἀνευρίσκεται verba καὶ ἐπὶ—θεωρεῖται ex lin.
add. H, sed rursus del. 3. 4 καὶ ταῦτα—ἐχουῶν rep. in mg.
3 ταῦτ’ οὐ M: τούτου Α, ταῦτα οὐ ceteri μεγάλων A 3. 4 ὅσα θεωρήματα
om. G 5 πασῶν MA: ἁπασῶν ceteri 7 ἄν om. MA
δυσκόλω καὶ δυστρόπῳ MA: δυστρόπῳ καὶ δυσκόλω ceteri 8 δουλεύων coni.
Mang. 9 ποικίλλω G οὐ om. GF, add. mg. P2 θηρατοῦ
GF, τῇ ῥᾳστώνῃ conicio ληπτόν MAH2P2: μεμπτόν GFH1P1 δυσόρατον
MA 10 ἀμελείᾳ καὶ ῥαθυμία MA: ῥαθυμία καὶ ἀμελείᾳ ceteri 11 τε] δὲ Α
οὑ χάριν om. Turn. 12 τοῦτο Α 13 δυσεύρητα D ἀνεύρητα
D 14 συμβέβηκεν HP δὲ om. MA 14. 15 δὲ—γεωμετρικώτερος
om. D 15 τῳ] τῶν AP ἐπιδόσεις coniciebam 16 εἶναι
ὅροις M: ὅροις εἶναι ceteri ἀεὶ MAP2: δεῖ ceteri 17 τὰ s. s. H2P2
ἐκδέχεται MAP2: ἐκδέχεσθαι ceteri ἐφεδρεύει MAP2: ἐφεδρεύειν ceteri
18 ὑπολαμβανόμενον MA: ὑπολαμβάνοντα ceteri νομίζεσθαι MA: ὑπολαμβάνεσθαι
ceteri 19 ἄρτι om. Α ἄρχεσθαι] νομίζεσθαι G γὰρ om. G 20 ὡς
post βίος add. GFHP ἧς MA: ἡ FHP, ὃς G (man. 2 ut vid.)
        

         13—16 DK fol. 262r ἐκ τοῦ περὶ τῶν ὀνείρων· τὰ τέλη—περιγραφῆναι. 20 Hippocrates,
Aphorismi I 1.
        


        ὁ ἀψευδῶς ἐμβαθύνων αὐτῇ καὶ ὥσπερ φρέαρ
        

        αὐτὴν ὀρύττων. διὸ
καὶ τελευτῶντά τινα πολιὸν ἤδη καὶ ὑπέργηρων λόγος ἔχει δακρύειν, οὐ
δι’ ἀνανδρίαν φόβῳ θανάτου, ἀλλὰ διὰ παιδείας ἵμερον ὡς νῦν πρῶτον
εἰς αὐτὴν εἰσιόντα, ὅτε πανύστατ’ ἔξεισιν."
