title,div_id,index_paragraph,index_annotation,mention,mention_without_space,thezoo_uri,id_concept,concept,start,end,annotation_lang,score,category
FabulaeAesopeae,book_1,1,1.0_it,ferro,ferro,<https://opentheso.huma-num.fr/?idc=pcrtJWWucnutA0&idt=th310>,pcrtJWWucnutA0,http://it.dbpedia.org/resource/Ferro,211,214,it,0.9999587417983927,
FabulaeAesopeae,book_1,1,1.1_it,foglie,foglie,, ,http://it.dbpedia.org/resource/Foglia,334,337,it,0.9999999999404281,
FabulaeAesopeae,book_1,1,1.2_it,Brigg,Brigg,, ,http://it.dbpedia.org/resource/Brigg,370,373,it,0.9999999875063851,
FabulaeAesopeae,book_1,1,1.3_it,struzzo,struzzo,<https://opentheso.huma-num.fr/?idc=pcrtRTP8BEpAYY&idt=th310>,pcrtRTP8BEpAYY,http://it.dbpedia.org/resource/Struthio_camelus,394,397,it,0.9999989169841863,
FabulaeAesopeae,book_1,1,1.0_en,iron,iron,<https://opentheso.huma-num.fr/?idc=pcrtJWWucnutA0&idt=th310>,pcrtJWWucnutA0,http://dbpedia.org/resource/Iron,217,220,en,0.9511944127422118,
FabulaeAesopeae,book_1,1,1.1_en,genus,genus,, ,http://dbpedia.org/resource/Genus,226,229,en,0.9961530863776453,
FabulaeAesopeae,book_1,1,1.2_en,pine,pine,, ,http://dbpedia.org/resource/Pine,367,370,en,0.9987360942868173,
FabulaeAesopeae,book_1,1,1.3_en,Pontus,Pontus,<https://opentheso.huma-num.fr/?idc=105701&idt=th310>,105701,http://dbpedia.org/resource/Kingdom_of_Pontus,387,390,en,0.995193436975055,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country"
FabulaeAesopeae,book_1,1,1.4_en,ostrich,ostrich,<https://opentheso.huma-num.fr/?idc=pcrtRTP8BEpAYY&idt=th310>,pcrtRTP8BEpAYY,http://dbpedia.org/resource/Ostrich,418,421,en,0.9999939907834025,
FabulaeAesopeae,book_1,1,1.5_en,fracture,fracture,, ,http://dbpedia.org/resource/Bone_fracture,583,586,en,0.8032634680446905,"Wikidata:Q12136,DBpedia:Disease"
FabulaeAesopeae,book_1,1,1.6_en,memory,memory,<https://opentheso.huma-num.fr/?idc=105433&idt=th310>,105433,http://dbpedia.org/resource/Memory,618,621,en,0.8517388446065773,
FabulaeAesopeae,book_1,1,1.7_en,Kerion,Kerion,, ,http://dbpedia.org/resource/Kerion,659,662,en,0.9999999628178109,"Wikidata:Q12136,DBpedia:Disease"
FabulaeAesopeae,book_1,2,2.0_it,Ovunque,Ovunque,, ,http://it.dbpedia.org/resource/Ovunque,454,457,it,0.9994043557982976,
FabulaeAesopeae,book_1,2,2.0_en,hunting,hunting,<https://opentheso.huma-num.fr/?idc=105556&idt=th310>,105556,http://dbpedia.org/resource/Hunting,20,22,en,0.9955511821542101,
FabulaeAesopeae,book_1,2,2.1_en,Leo,Leo,, ,http://dbpedia.org/resource/Leo_Wyatt,119,122,en,0.886476212277569,"Wikidata:Q95074,Wikidata:Q24229398,DUL:Agent,DBpedia:Agent,DBpedia:FictionalCharacter"
FabulaeAesopeae,book_1,2,2.2_en,Napa,Napa,, ,http://dbpedia.org/resource/Napa_Valley_AVA,349,352,en,0.9920304834402943,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:WineRegion"
FabulaeAesopeae,book_1,4,4.0_it,Cantanti,Cantanti,, ,http://it.dbpedia.org/resource/Cantante,322,325,it,0.99999998106415,
FabulaeAesopeae,book_1,4,4.1_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,347,350,it,0.9996396505244144,
FabulaeAesopeae,book_1,4,4.0_en,city,city,, ,http://dbpedia.org/resource/City,98,100,en,0.8842564634395418,
FabulaeAesopeae,book_1,4,4.1_en,Thief,Thief,, ,http://dbpedia.org/resource/Recurring_elements_in_the_Final_Fantasy_series,387,390,en,0.6098753213772544,
FabulaeAesopeae,book_1,6,6.0_it,despota,despota,, ,http://it.dbpedia.org/resource/Tiranno,271,274,it,0.9999948865715848,
FabulaeAesopeae,book_1,6,6.1_en,lighthouse,lighthouse,, ,http://dbpedia.org/resource/Lighthouse,118,121,en,0.9989267993240449,
