title,div_id,index_paragraph,index_annotation,mention,mention_without_space,thezoo_uri,id_concept,concept,start,end,annotation_lang,score,category
Deaeternitatemundi,chapter_1,1,1.0_it,II,II,, ,http://it.dbpedia.org/resource/II_secolo,60,62,it,0.9423426459236,
Deaeternitatemundi,chapter_1,1,1.1_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,299,302,it,0.9999998870112058,
Deaeternitatemundi,chapter_1,1,1.0_en,God,God,, ,http://dbpedia.org/resource/God,322,325,en,0.6650148922507,
Deaeternitatemundi,chapter_2,1,1.0_it,anime,anime,, ,http://it.dbpedia.org/resource/Anima,213,216,it,0.9999999110320954,
Deaeternitatemundi,chapter_2,1,1.1_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,517,520,it,0.9999837712737568,
Deaeternitatemundi,chapter_2,1,1.2_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,534,537,it,0.9999837712737568,
Deaeternitatemundi,chapter_2,1,1.3_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,556,559,it,0.9999837712737568,
Deaeternitatemundi,chapter_2,1,1.4_it,generatore v,generatore_v,, ,http://it.dbpedia.org/resource/Pokémon_di_quinta_generazione,595,598,it,0.9999995063254883,
Deaeternitatemundi,chapter_2,1,1.5_it,MHP,MHP,, ,http://it.dbpedia.org/resource/Multimedia_Home_Platform,616,619,it,0.6853529207313509,
Deaeternitatemundi,chapter_2,1,1.6_it,Da,Da,, ,http://it.dbpedia.org/resource/Libro_di_Daniele,759,762,it,0.9999999999997726,
Deaeternitatemundi,chapter_2,1,1.7_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,1305,1309,it,0.9999837712737568,
Deaeternitatemundi,chapter_2,1,1.0_en,Philo,Philo,, ,http://dbpedia.org/resource/Philo,350,353,en,0.9999999999008651,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q4964182,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Philosopher"
Deaeternitatemundi,chapter_2,1,1.1_en,MHP,MHP,, ,http://dbpedia.org/resource/Nationalist_Movement_Party,599,602,en,0.9977018161186681,"Wikidata:Q7278,Wikidata:Q43229,Wikidata:Q24229398,DUL:SocialPerson,DUL:Agent,Schema:Organization,DBpedia:Organisation,DBpedia:Agent,DBpedia:PoliticalParty"
Deaeternitatemundi,chapter_2,1,1.2_en,U 7,U_7,, ,http://dbpedia.org/resource/German_submarine_U-7_(1935),607,610,en,0.999999935106873,"Wikidata:Q11446,Schema:Product,DBpedia:MeanOfTransportation,DBpedia:Ship"
Deaeternitatemundi,chapter_2,1,1.3_en,coni,coni,, ,http://dbpedia.org/resource/Italian_National_Olympic_Committee,650,653,en,1.0,
Deaeternitatemundi,chapter_2,1,1.4_en,cout.,cout.,, ,http://dbpedia.org/resource/António_Xavier_Pereira_Coutinho,703,706,en,0.9999999902940999,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q901,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Person,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Scientist"
Deaeternitatemundi,chapter_2,1,1.5_en,coni,coni,, ,http://dbpedia.org/resource/Italian_National_Olympic_Committee,777,780,en,1.0,
Deaeternitatemundi,chapter_2,1,1.6_en,scripsi,scripsi,, ,http://dbpedia.org/resource/Scripsi,965,968,en,0.9999998972491593,
Deaeternitatemundi,chapter_2,1,1.7_en,coni,coni,, ,http://dbpedia.org/resource/Italian_National_Olympic_Committee,1120,1124,en,1.0,
Deaeternitatemundi,chapter_2,1,1.8_en,God,God,, ,http://dbpedia.org/resource/God,1272,1276,en,0.9995953253898319,
Deaeternitatemundi,chapter_4,1,1.0_it,Anassagora,Anassagora,, ,http://it.dbpedia.org/resource/Anassagora,173,176,it,1.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q729,Wikidata:Q5,Wikidata:Q215627,Wikidata:Q19088,DUL:NaturalPerson,Schema:Person,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Person"
Deaeternitatemundi,chapter_4,1,1.1_it,stoici,stoici,, ,http://it.dbpedia.org/resource/Stoicismo,359,362,it,1.0,
Deaeternitatemundi,chapter_4,1,1.2_it,ardore,ardore,, ,http://it.dbpedia.org/resource/Ardore,385,388,it,0.9999999999995453,"Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:PopulatedPlace"
Deaeternitatemundi,chapter_4,1,1.3_it,MHP,MHP,, ,http://it.dbpedia.org/resource/Partito_del_Movimento_Nazionalista,461,464,it,0.9972766292630053,
