title,div_id,index_paragraph,index_annotation,mention,mention_without_space,thezoo_uri,id_concept,concept,start,end,annotation_lang,score,category
Dipsades,section_1,1,1.0_it,Libia,Libia,, ,http://it.dbpedia.org/resource/Libia,12,14,it,0.9999230935716257,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country"
Dipsades,section_1,1,1.1_it,bassopiano,bassopiano,, ,http://it.dbpedia.org/resource/Bassopiano,87,89,it,0.9999999995812914,
Dipsades,section_1,1,1.2_it,erba,erba,, ,http://it.dbpedia.org/resource/Erba,108,111,it,0.9999949177651613,
Dipsades,section_1,1,1.0_en,Libya,Libya,, ,http://dbpedia.org/resource/Libya,9,10,en,0.9816573792520771,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country"
Dipsades,section_1,1,1.1_en,relic,relic,<https://opentheso.huma-num.fr/?idc=pcrtiVJUXzbukM&idt=th310>,pcrtiVJUXzbukM,http://dbpedia.org/resource/Relic,193,196,en,0.9999999997727969,
Dipsades,section_1,1,1.2_en,fat,fat,<https://opentheso.huma-num.fr/?idc=105983&idt=th310>,105983,http://dbpedia.org/resource/Fat,200,203,en,0.9823683267137687,
Dipsades,section_2,1,1.0_it,Garamanti,Garamanti,<https://opentheso.huma-num.fr/?idc=pcrtMIjjoppPPS&idt=th310>,pcrtMIjjoppPPS,http://it.dbpedia.org/resource/Garamanti,6,7,it,0.9999999999992042,
Dipsades,section_2,1,1.1_it,Dio,Dio,, ,http://it.dbpedia.org/resource/Dio,181,184,it,0.9635273241396457,
Dipsades,section_2,1,1.2_it,scimmie,scimmie,, ,http://it.dbpedia.org/resource/Simiiformes,343,346,it,0.9999669943421419,DBpedia:Species
Dipsades,section_2,1,1.3_it,elefanti,elefanti,, ,http://it.dbpedia.org/resource/Elephantidae,361,364,it,0.9858573996959374,DBpedia:Species
Dipsades,section_2,1,1.4_it,Garamanti,Garamanti,<https://opentheso.huma-num.fr/?idc=pcrtMIjjoppPPS&idt=th310>,pcrtMIjjoppPPS,http://it.dbpedia.org/resource/Garamanti,489,492,it,0.9999999999992042,
