title,div,index_paragraph,index_annotation,mention,mention_without_space,concept,start,end,annotation_lang,score,category
Fabulae,1,1.1,1.1.0_it,Zeus,Zeus,http://it.dbpedia.org/resource/Zeus,121,124,it,0.9999996878541911,
Fabulae,1,1.1,1.1.0_en,Zeus,Zeus,http://dbpedia.org/resource/Zeus,118,121,en,0.9999999323318344,
Fabulae,2,2.1,2.1.0_en,wood,wood,http://dbpedia.org/resource/Wood,11,13,en,0.9950279571906632,
Fabulae,2,2.1,2.1.1_en,demon,demon,http://dbpedia.org/resource/Demon,125,128,en,0.9984528881488789,
Fabulae,3,3.1,3.1.0_it,ascesi,ascesi,http://it.dbpedia.org/resource/Ascetismo,174,177,it,0.9999999969592182,
Fabulae,3,3.1,3.1.1_it,Dio,Dio,http://it.dbpedia.org/resource/Dio,420,423,it,0.9998285312791547,
Fabulae,4,4.1,4.1.0_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,39,41,it,0.8953662260521569,
Fabulae,4,4.1,4.1.1_it,lepre,lepre,http://it.dbpedia.org/resource/Lepus_europaeus,51,53,it,0.9999819779845293,
Fabulae,4,4.1,4.1.2_it,davanti agli occhi,davanti_agli_occhi,http://it.dbpedia.org/resource/Davanti_agli_occhi,160,163,it,1.0,
Fabulae,4,4.1,4.1.0_en,glyph,glyph,http://dbpedia.org/resource/Glyph,142,145,en,0.9998956405269173,
Fabulae,4,4.2,4.2.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,16,18,it,0.9997589674298045,
Fabulae,4b,4b.1,4b.1.0_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,19,21,it,0.9629228377323377,
Fabulae,4b,4b.1,4b.1.1_it,l'aquila,l'aquila,http://it.dbpedia.org/resource/L'Aquila,67,69,it,0.998362732121827,
Fabulae,4b,4b.1,4b.1.2_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,79,81,it,0.9629228377323377,
Fabulae,4b,4b.1,4b.1.0_en,archer,archer,http://dbpedia.org/resource/Archery,17,19,en,0.9649569842644328,
Fabulae,5,5.1,5.1.0_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,11,13,it,0.999060709181534,
Fabulae,5,5.1,5.1.1_it,l'aquila,l'aquila,http://it.dbpedia.org/resource/Aquila,289,292,it,0.999410311944872,
Fabulae,5,5.1,5.1.2_it,apocalisse,apocalisse,http://it.dbpedia.org/resource/Apocalisse,396,399,it,0.9999992733203638,
Fabulae,5,5.1,5.1.3_it,uccello,uccello,http://it.dbpedia.org/resource/Aves,591,594,it,0.9999999995766302,
Fabulae,5,5.1,5.1.4_it,vento,vento,http://it.dbpedia.org/resource/Vento,929,932,it,0.9999941942751597,
Fabulae,5,5.1,5.1.5_it,davanti agli occhi,davanti_agli_occhi,http://it.dbpedia.org/resource/Davanti_agli_occhi,1135,1139,it,1.0,
Fabulae,5,5.1,5.1.6_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,1159,1163,it,0.999060709181534,
Fabulae,5,5.1,5.1.0_en,lynx,lynx,http://dbpedia.org/resource/Lynx,23,25,en,0.9417267052346564,
Fabulae,5,5.1,5.1.1_en,bird,bird,http://dbpedia.org/resource/Bird,577,580,en,0.9999802833584391,
Fabulae,5,5.2,5.2.0_it,Dio,Dio,http://it.dbpedia.org/resource/Dio,114,117,it,0.9995241133889803,
Fabulae,5,5.2,5.2.0_en,God,God,http://dbpedia.org/resource/God,129,132,en,0.6702650414452447,
Fabulae,6,6.1,6.1.0_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila_chrysaetos,11,13,it,0.8622891930455998,
Fabulae,6,6.1,6.1.1_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila_chrysaetos,214,217,it,0.8622891930455998,
Fabulae,6,6.1,6.1.2_it,lepre,lepre,http://it.dbpedia.org/resource/Lepus_europaeus,268,271,it,0.9999998849409688,
Fabulae,6,6.1,6.1.3_it,Toto,Toto,http://it.dbpedia.org/resource/Personaggi_di_One_Piece,310,313,it,0.997546381409955,
Fabulae,6,6.1,6.1.0_en,Toto,Toto,http://dbpedia.org/resource/Toto_Ltd.,288,291,en,0.9999984954246152,
Fabulae,6,6.2,6.2.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,16,18,it,0.9997884536581979,
Fabulae,7,7.1,7.1.0_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,10,12,it,0.9979753476198475,
Fabulae,7,7.1,7.1.1_it,lepre,lepre,http://it.dbpedia.org/resource/Lepus_europaeus,28,30,it,0.9999999910169208,
Fabulae,7,7.1,7.1.2_it,l'aquila,l'aquila,http://it.dbpedia.org/resource/Aquila,185,188,it,0.999993799952229,
Fabulae,7,7.1,7.1.3_it,donnola,donnola,http://it.dbpedia.org/resource/Mustela_nivalis,283,286,it,0.9999786832580089,
Fabulae,7,7.1,7.1.4_it,lepre,lepre,http://it.dbpedia.org/resource/Lepus_europaeus,294,297,it,0.9999999910169208,
Fabulae,7,7.1,7.1.5_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,370,373,it,0.9979753476198475,
Fabulae,7,7.1,7.1.6_it,tarso,tarso,http://it.dbpedia.org/resource/Glossario_entomologico,411,414,it,0.9999999438246066,
Fabulae,7,7.1,7.1.7_it,l'aquila,l'aquila,http://it.dbpedia.org/resource/Aquila,473,476,it,0.999993799952229,
Fabulae,7,7.1,7.1.8_it,Zeus,Zeus,http://it.dbpedia.org/resource/Zeus,505,508,it,1.0,
Fabulae,7,7.1,7.1.9_it,avvoltoio,avvoltoio,http://it.dbpedia.org/resource/Avvoltoio,528,531,it,0.9999992158253354,
Fabulae,7,7.1,7.1.10_it,Zeus,Zeus,http://it.dbpedia.org/resource/Zeus,548,551,it,1.0,
Fabulae,7,7.1,7.1.11_it,Zeus,Zeus,http://it.dbpedia.org/resource/Zeus,790,793,it,1.0,
Fabulae,7,7.1,7.1.0_en,weasel,weasel,http://dbpedia.org/resource/Weasel,276,279,en,0.9993442803946897,
Fabulae,7,7.1,7.1.1_en,tarsus,tarsus,http://dbpedia.org/resource/Arthropod_leg,400,403,en,0.9989807299096319,
Fabulae,7,7.1,7.1.2_en,Zeus,Zeus,http://dbpedia.org/resource/Zeus,487,490,en,1.0,
Fabulae,7,7.1,7.1.3_en,vulture,vulture,http://dbpedia.org/resource/Vulture,529,532,en,0.9999999848940889,"Wikidata:Q729,Wikidata:Q19088,DBpedia:Species,DBpedia:Eukaryote,DBpedia:Animal,DBpedia:Bird"
Fabulae,7,7.1,7.1.4_en,Zeus,Zeus,http://dbpedia.org/resource/Zeus,550,553,en,1.0,
Fabulae,7,7.1,7.1.5_en,beetle,beetle,http://dbpedia.org/resource/Beetle,674,677,en,0.9976856169306124,
Fabulae,7,7.1,7.1.6_en,Zeus,Zeus,http://dbpedia.org/resource/Zeus,790,793,en,1.0,
Fabulae,8,8.1,8.1.0_it,chiaramente,chiaramente,http://it.dbpedia.org/resource/ChiARAMente,481,484,it,0.9987282376727785,
Fabulae,8,8.1,8.1.1_it,aquila,aquila,http://it.dbpedia.org/resource/Aquila,513,516,it,0.998419899623984,
Fabulae,8,8.2,8.2.0_it,nessun rimpianto,nessun_rimpianto,http://it.dbpedia.org/resource/Nessun_rimpianto,52,54,it,0.9999999998719886,
Fabulae,9,9.1,9.1.0_en,tree sitting,tree_sitting,http://dbpedia.org/resource/Tree_sitting,28,30,en,1.0,
Fabulae,9,9.2,9.2.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,19,21,it,0.9999241722372727,
Fabulae,10,10.1,10.1.0_it,usignolo,usignolo,http://it.dbpedia.org/resource/Luscinia_megarhynchos,11,13,it,0.9999999996663291,
Fabulae,11,11.1,11.1.0_it,Debitore,Debitore,http://it.dbpedia.org/resource/Debitore,8,9,it,1.0,
Fabulae,11,11.1,11.1.1_it,Atene,Atene,http://it.dbpedia.org/resource/Atene,28,30,it,0.9999999947290235,
Fabulae,11,11.1,11.1.0_en,Dionysius,Dionysius,http://dbpedia.org/resource/Dionysius_of_Halicarnassus,447,450,en,0.9072713181027564,
Fabulae,11,11.2,11.2.0_en,bear,bear,http://dbpedia.org/resource/Bear,69,71,en,0.9890507329674173,
Fabulae,12,12.1,12.1.0_it,peccato,peccato,http://it.dbpedia.org/resource/Peccato,839,842,it,0.9999994735313997,
Fabulae,12,12.1,12.1.0_en,cave,cave,http://dbpedia.org/resource/Cave,117,120,en,0.9999808435655912,
Fabulae,12b,12b.1,12b.1.0_it,foglie,foglie,http://it.dbpedia.org/resource/Foglia,207,210,it,0.9999999999320153,
Fabulae,12b,12b.1,12b.1.1_it,i selvaggi,i_selvaggi,http://it.dbpedia.org/resource/I_selvaggi,285,288,it,0.9835898723837015,
Fabulae,12b,12b.1,12b.1.0_en,goatherd,goatherd,http://dbpedia.org/resource/Goatherd,10,12,en,0.9999999999919851,
Fabulae,12b,12b.1,12b.1.1_en,cave,cave,http://dbpedia.org/resource/Cave,31,33,en,0.9997926760924835,
Fabulae,14,14.1,14.1.0_it,gatto,gatto,http://it.dbpedia.org/resource/Felis_silvestris_catus,280,283,it,0.9999999884063301,
Fabulae,14,14.1,14.1.1_it,gatto,gatto,http://it.dbpedia.org/resource/Felis_silvestris_catus,519,522,it,0.9999999884063301,
Fabulae,14,14.2,14.2.0_it,dice,dice,http://it.dbpedia.org/resource/Digital_Illusions_Creative_Entertainment,16,18,it,0.999789781154624,
Fabulae,15,15.1,15.1.0_it,muscoli,muscoli,http://it.dbpedia.org/resource/Muscolo,22,24,it,0.9999972820410779,
Fabulae,15,15.1,15.1.1_it,muscoli,muscoli,http://it.dbpedia.org/resource/Muscolo,127,130,it,0.9999972820410779,
Fabulae,15,15.1,15.1.2_it,gatto,gatto,http://it.dbpedia.org/resource/Felis_silvestris_catus,193,196,it,0.882216752532669,
Fabulae,15,15.1,15.1.3_it,muscoli,muscoli,http://it.dbpedia.org/resource/Muscolo,373,376,it,0.9999972820410779,
Fabulae,15,15.1,15.1.4_it,ge,ge,http://it.dbpedia.org/resource/General_Electric,428,431,it,0.6761072590799462,
Fabulae,16,16.1,16.1.0_it,Tini,Tini,http://it.dbpedia.org/resource/Martina_Stoessel,35,37,it,0.9988072148668621,
Fabulae,16,16.1,16.1.1_it,sushi,sushi,http://it.dbpedia.org/resource/Sushi,62,64,it,0.9999999954725922,
Fabulae,16,16.1,16.1.2_it,palazzo,palazzo,http://it.dbpedia.org/resource/Palazzo,172,175,it,0.9561431050034578,
