work_title,author,editor,date,bookid,booktitle,index_paragraph,latin_text,italian_text,english_text
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,1,"καῦσος γίγνεται, ὁκόταν ἀναξηρανθέντα τὰ φλέβια ἐν θερινῇ ὥρῃ ἐπισπάσηται δριμέας
					καὶ χολώδεας ἰχῶρας ἐς ἑωυτά· καὶ πυρετὸς πολὺς ἴσχει, τό τε σῶμα ὡς ὑπὸ κόπου
					ἐχόμενον κοπιᾷ καὶ ἀλγέει.","si verifica un bruciore di stomaco, le vene vengono tagliate in estate, c'è una grave ricaduta
e si sente un ileo biliare, e una febbre molto forte, il corpo come in travaglio
È stanco e dolorante.","a heartburn occurs, the veins are cut open in the summer, there is a severe relapse
and a bilious ileus is heard; and a very strong fever, the body as if under labor
He is tired and aching."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,2,"γίγνεται δὲ ὡς ἐπιτοπουλὺ καὶ ἐκ πορείης μακρῆς καὶ δίψεος μακροῦ, ὁκόταν
					ἀναξηρανθέντα τὰ φλέβια δριμέα καὶ θερμὰ Ῥεύματα ἐπισπάσηται.","ma diventa come un uccello e, dopo un viaggio lungo e bilaterale, viene colpito
quando le vene sono secche si ripresentano vampate gravi e di calore.","but he becomes like a bird, and from a long and two-sided long journey, he was shot
when the veins are dry, severe and hot flushes recur."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,3,"γίγνεται δὲ ἡ γλῶσσα τρηχείη καὶ ξηρὴ καὶ μέλαινα κάρτα· καὶ τὰ περὶ τὴν νηδὺν
					δακνόμενος ἀλγέει· τά τε ὑποχωρήματα ἔξυγρα καὶ ὠχρὰ γίγνεται, καὶ δίψαι σφοδραὶ
					ἔνεισι, καὶ ἀγρυπνίη, ἐνίοτε δὲ καὶ","e la lingua diventa secca e secca e un cartoncino nero;
morde, soffre, le sue viscere diventano magre e pallide ed ha molta sete
sonnolenza e veglia, e talvolta","and the tongue becomes dry and dry and a black card;
biting, he is in pain; his bowels become thin and pale, and he is very thirsty
sleepiness, and wakefulness, and sometimes"
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,4,παραλλάξιες φρενῶν.,freni di parallasse.,parallax brakes.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,5,"τῷ τοιῷδε δίδου πίνειν ὕδωρ τε καὶ μελίκρητον ἑφθὸν ὑδαρὲς ὁκόσον ἐθέλει· κἂν
					πικρὸν τὸ στόμα γίγνηται, ἐμέειν ξυμφέρει, καὶ τὴν κοιλίην ὑποκλύσαι· ἢν δὲ μὴ
					πρὸς ταῦτα λύηται, γάλα ὄνου ἑψήσας κάθαιρε.","beva acqua e acqua dolce sette volte quanto vuole;
la bocca diventa amara, sono indignato, e il ventre è domato; ma se no
a questo è risolto, hai bevuto il latte del diavolo, tu pulito.","let him drink water and sweet water seven times as much as he likes;
the mouth becomes bitter, I am indignant, and the belly is subdued; but if not
to this it is resolved, you have drunk devil's milk, you clean one."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,6,"ἁλμυρὸν δὲ μηδὲν μηδὲ δριμὺ προσφέρειν, οὐ γὰρ ὑποίσει· Ῥοφήματα δὲ, ἕως ἂν ἔξω
					τῶν κρισίμων γένηται, μὴ δίδου.","ma non offrono né salato né amaro, perché non mancherà; ma beve, finché
i giudizi si fanno, non due.","but they offer neither salty nor bitter, for it will not fail; but drinks, until
judgments are made, not two."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,7,"κἢν αἷμα ἐκ τῶν Ῥινῶν Ῥυῇ, λύεται τὸ πάθος, κἢν ἱδρῶτες ἐπιγένωνται κριτικοὶ
					γνήσιοι μετʼ οὔρων λευκῶν. παχέων καὶ λείων ὑφισταμένων, κἢν ἀπόστημά που
					γένηται· ἢν δʼ ἄνευ τούτων λυθῇ, ὑποστροφὴ πάλιν ἔσται τῆς ἀῤῬωστίης, ἢ ἰσχίων
					ἢ σκελέων ἄλγημα ξυμβήσεται, καὶ πτύσεται παχέα, ἢν μέλλῃ ὑγιὴς ἔσεσθαι.","Quando il sangue esce dal Ῥyῇn Ῥυῇ, la passione si scioglie, quando si fanno sudati critici
genuino con i capelli bianchi. presente denso e liscio, ascesso dove
nasce; se non si risolve senza di questi, è ancora il contrario dell'AῤῬostia, o degli antichi
oppure il dolore di uno scheletro viene lavato via, e cade fitto, se torna sano, riposa.","When blood from the Ῥyῇn Ῥυῇ, the passion is dissolved, when sweaty critics are made
genuine with white hair. thick and smooth present, abscess where
it is born; if it is not resolved without these, it is again the reverse of the AῤῬostia, or of the ancients
or a skeleon's grief is washed away, and it falls thickly, if it comes healthy, it rests."
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,8,καύσου γένος ἄλλο.,bruciarne un tipo diverso.,burn a different kind.
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,9,"κοιλίη ὑπάγουσα, δίψης μεστὴ, γλῶσσα τρηχείη, ξηρὴ, ἁλυκώδης·","Ventre pieno, assetato e pieno, lingua secca, secca, salata;","Belly full, thirsty and full, tongue dry, dry, salty;"
Acut.sp.,Hippocrates,A.Littre,"June1,2005",1,1.,10,οὔρων ἀπόληψις· ἀγρυπνίη· ἀκρωτήρια ἐψυγμένα.,"perdita di urina, veglia, estremità fredde.",loss of urine; wakefulness; extremities cold.
