paragraph_uri,concept_uri,mention,score,origin
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/1/text/1,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/2/text/3,http://dbpedia.org/resource/Lamb_and_mutton,lamb,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/2/text/11,http://dbpedia.org/resource/Lamb_and_mutton,lamb,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/1,http://dbpedia.org/resource/Athens,Athens,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/2,http://dbpedia.org/resource/City,city,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/5,http://dbpedia.org/resource/Pisistratus,Pisistratus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/5,http://dbpedia.org/resource/Citadel,citadel,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/9,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/11,http://dbpedia.org/resource/Jove_Books,Jove,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/16,http://dbpedia.org/resource/Silt,silt,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/17,http://dbpedia.org/resource/Caput,caput,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/22,http://dbpedia.org/resource/Jove_Books,Jove,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/27,http://dbpedia.org/resource/Jupiter,Jupiter,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/3/text/28,http://dbpedia.org/resource/Names_of_God_in_Judaism,God,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/4/text/3,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/4/text/8,http://dbpedia.org/resource/Bird,bird,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/4/text/9,http://dbpedia.org/resource/Grackle,grackle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/5/text/2,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/5/text/3,http://dbpedia.org/resource/Mirror,mirror,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/5/text/3,http://dbpedia.org/resource/Lymph,lymph,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/6/text/3,http://dbpedia.org/resource/Cattle,cow,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/6/text/3,http://dbpedia.org/resource/Goat,goat,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/6/text/5,http://dbpedia.org/resource/Deer,deer,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/7/text/2,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/7/text/4,http://dbpedia.org/resource/Frog,frog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/7/text/5,http://dbpedia.org/resource/Jupiter,Jupiter,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/9/text/9,http://dbpedia.org/resource/Dangerous_Medicine,dangerous medicine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/10/text/3,http://dbpedia.org/resource/Eagle,eagle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/11/text/3,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/12/text/1,http://dbpedia.org/resource/Exalted,Exalted,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/3,http://dbpedia.org/resource/Raven,raven,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/3,http://dbpedia.org/resource/Cheese,cheese,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/6,http://dbpedia.org/resource/Raven,raven,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/6,http://dbpedia.org/resource/Shine!,shine!,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/10,http://dbpedia.org/resource/Cheese,cheese,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/11,http://dbpedia.org/resource/Magua,cunning fox,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/12,http://dbpedia.org/resource/Raven,raven,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/14/text/14,http://dbpedia.org/resource/Wisdom,Wisdom,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/15/text/1,http://dbpedia.org/resource/Spa_town,Bad,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/15/text/2,http://dbpedia.org/resource/Medicine,medicine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/15/text/6,http://dbpedia.org/resource/City,city,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/15/text/8,http://dbpedia.org/resource/Poison,poison,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/16/text/4,http://dbpedia.org/resource/Goat,goat,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/17/text/3,http://dbpedia.org/resource/Deer,deer,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/17/text/3,http://dbpedia.org/resource/Wheat,wheat,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/17/text/5,http://dbpedia.org/resource/Snatch_Game,snatch,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/18/text/2,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/20/text/3,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/20/text/4,http://dbpedia.org/resource/Fetus,fetus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/22/text/4,http://dbpedia.org/resource/Leo_Records,Leo,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/22/text/5,http://dbpedia.org/resource/Wild_boar,wild boar,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/23/text/12,http://dbpedia.org/resource/Flaunt,flaunt,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/23/text/12,http://dbpedia.org/resource/UNRWA,unwary,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/24/text/3,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/24/text/7,http://dbpedia.org/resource/Kindness,kindness,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/24/text/8,http://dbpedia.org/resource/Take_Care_(album),Take care,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/25/text/2,http://dbpedia.org/resource/Frog,frog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/25/text/2,http://dbpedia.org/resource/Cattle,cow,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/25/text/3,http://dbpedia.org/resource/Apparent_magnitude,magnitude,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/26/text/3,http://dbpedia.org/resource/Nile,Nile,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/26/text/5,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/27/text/10,http://dbpedia.org/resource/Lagoon,lagoon,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/27/text/11,http://dbpedia.org/resource/Bird,bird,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/28/text/3,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/28/text/7,http://dbpedia.org/resource/Forgetting,forgetting,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/28/text/8,http://dbpedia.org/resource/Vulture,vulture,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/28/text/9,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/29/text/2,http://dbpedia.org/resource/Revenge,Revenge,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/29/text/3,http://dbpedia.org/resource/Eagle,eagle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/29/text/11,http://dbpedia.org/resource/Eagle,eagle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/30/text/4,http://dbpedia.org/resource/Wild_boar,wild boar,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/30/text/9,http://dbpedia.org/resource/Wild_boar,boar,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/30/text/10,http://dbpedia.org/resource/Ghost_Rider,Vengeance,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/31/text/2,http://dbpedia.org/resource/Frog,frog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/31/text/2,http://dbpedia.org/resource/Swamp,swamp,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/31/text/2,http://dbpedia.org/resource/Bullfighting,bullfight,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/32/text/3,http://dbpedia.org/resource/Columbidae,Doves,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/1/32/text/5,http://dbpedia.org/resource/The_Kidnapper,The kidnapper,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/1/text/1,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/1/text/1,http://dbpedia.org/resource/Genus,genus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/2/text/2,http://dbpedia.org/resource/Predation,predator,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/4/text/1,http://dbpedia.org/resource/Dog,dog,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/4/text/4,http://dbpedia.org/resource/Aesop,Aesop,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/5/text/1,http://dbpedia.org/resource/Eagle,eagle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/5/text/2,http://dbpedia.org/resource/Cave,cave,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/5/text/3,http://dbpedia.org/resource/Fetus,fetus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/5/text/6,http://dbpedia.org/resource/Bird,bird,0.6,DBpedia
http://ns.inria.fr/zoomathia/Phaedrus/fabulae_aesopiae/2/5/text/9,http://dbpedia.org/resource/Wild_boar,boar,0.6,DBpedia
