parent_uri,type,id,title,text,author,work
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,1,,"οὐκ ἄρα μοῦνον ἔην Ἐρίδων γένος, ἀλλʼ ἐπὶ γαῖαν",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,2,,"εἰσὶ δύω· τὴν μέν κεν ἐπαινέσσειε νοήσας,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,3,,ἣ δʼ ἐπιμωμητή· διὰ δʼ ἄνδιχα θυμὸν ἔχουσιν.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,4,,"ἣ μὲν γὰρ πόλεμόν τε κακὸν καὶ δῆριν ὀφέλλει,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,5,,"σχετλίη· οὔτις τήν γε φιλεῖ βροτός, ἀλλʼ ὑπʼ ἀνάγκης",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,6,,ἀθανάτων βουλῇσιν Ἔριν τιμῶσι βαρεῖαν.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,7,,"τὴν δʼ ἑτέρην προτέρην μὲν ἐγείνατο Νὺξ ἐρεβεννή,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,8,,"θῆκε δέ μιν Κρονίδης ὑψίζυγος, αἰθέρι ναίων,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,9,,"γαίης ἐν ῥίζῃσι, καὶ ἀνδράσι πολλὸν ἀμείνω·",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,10,,ἥτε καὶ ἀπάλαμόν περ ὁμῶς ἐπὶ ἔργον ἔγειρεν.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,11,,εἰς ἕτερον γάρ τίς τε ἰδὼν ἔργοιο χατίζει,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,12,,"πλούσιον, ὃς σπεύδει μὲν ἀρώμεναι ἠδὲ φυτεύειν",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,13,,οἶκόν τʼ εὖ θέσθαι· ζηλοῖ δέ τε γείτονα γείτων,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,14,,εἰς ἄφενος σπεύδοντʼ· ἀγαθὴ δʼ Ἔρις ἥδε βροτοῖσιν.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,15,,"καὶ κεραμεὺς κεραμεῖ κοτέει καὶ τέκτονι τέκτων,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,16,,καὶ πτωχὸς πτωχῷ φθονέει καὶ ἀοιδὸς ἀοιδῷ.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,17,,"ὦ Πέρση, σὺ δὲ ταῦτα τεῷ ἐνικάτθεο θυμῷ,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,18,,μηδέ σʼ Ἔρις κακόχαρτος ἀπʼ ἔργου θυμὸν ἐρύκοι,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,19,,νείκεʼ ὀπιπεύοντʼ ἀγορῆς ἐπακουὸν ἐόντα.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,20,,"ὤρη γάρ τʼ ὀλίγη πέλεται νεικέων τʼ ἀγορέων τε,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,21,,ᾧτινι μὴ βίος ἔνδον ἐπηετανὸς κατάκειται,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,22,,"ὡραῖος, τὸν γαῖα φέρει, Δημήτερος ἀκτήν.",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,23,,τοῦ κε κορεσσάμενος νείκεα καὶ δῆριν ὀφέλλοις,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,24,,κτήμασʼ ἐπʼ ἀλλοτρίοις· σοὶ δʼ οὐκέτι δεύτερον ἔσται,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,25,,ὧδʼ ἔρδειν· ἀλλʼ αὖθι διακρινώμεθα νεῖκος,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,26,,"ἰθείῃσι δίκῃς, αἵ τʼ ἐκ Διός εἰσιν ἄρισται.",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,27,,"ἤδη μὲν γὰρ κλῆρον ἐδασσάμεθʼ, ἀλλὰ τὰ πολλὰ",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,28,,ἁρπάζων ἐφόρεις μέγα κυδαίνων βασιλῆας,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,29,,"δωροφάγους, οἳ τήνδε δίκην ἐθέλουσι δίκασσαι.",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,30,,"νήπιοι, οὐδὲ ἴσασιν ὅσῳ πλέον ἥμισυ παντὸς",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,31,,οὐδʼ ὅσον ἐν μαλάχῃ τε καὶ ἀσφοδέλῳ μέγʼ ὄνειαρ.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,32,,κρύψαντες γὰρ ἔχουσι θεοὶ βίον ἀνθρώποισιν·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,33,,"ῥηιδίως γάρ κεν καὶ ἐπʼ ἤματι ἐργάσσαιο,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,34,,ὥστε σε κεἰς ἐνιαυτὸν ἔχειν καὶ ἀεργὸν ἐόντα·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,35,,"αἶψά κε πηδάλιον μὲν ὑπὲρ καπνοῦ καταθεῖο,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,36,,ἔργα βοῶν δʼ ἀπόλοιτο καὶ ἡμιόνων ταλαεργῶν.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,37,,"ἀλλὰ Ζεὺς ἔκρυψε χολωσάμενος φρεσὶν ᾗσιν,",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,38,,ὅττι μιν ἐξαπάτησε Προμηθεὺς ἀγκυλομήτης·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,39,,τοὔνεκʼ ἄρʼ ἀνθρώποισιν ἐμήσατο κήδεα λυγρά.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,40,,κρύψε δὲ πῦρ· τὸ μὲν αὖτις ἐὺς πάις Ἰαπετοῖο,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,41,,ἔκλεψʼ ἀνθρώποισι Διὸς πάρα μητιόεντος,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,42,,ἐν κοῒλῳ νάρθηκι λαθὼν Δία τερπικέραυνον.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,43,,τὸν δὲ χολωσάμενος προσέφη νεφεληγερέτα Ζευς·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,44,,ὣς ἔφατʼ· ἐκ δʼ ἐγέλασσε πατὴρ ἀνδρῶν τε θεῶν τε.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,45,,Ἥφαιστον δʼ ἐκέλευσε περικλυτὸν ὅττι τάχιστα,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,46,,"γαῖαν ὕδει φύρειν, ἐν δʼ ἀνθρώπου θέμεν αὐδὴν",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,47,,"καὶ σθένος, ἀθανάτῃς δὲ θεῇς εἰς ὦπα ἐίσκειν",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,48,,παρθενικῆς καλὸν εἶδος ἐπήρατον· αὐτὰρ Ἀθήνην,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,49,,"ἔργα διδασκῆσαι, πολυδαίδαλον ἱστὸν ὑφαίνειν·",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,50,,καὶ χάριν ἀμφιχέαι κεφαλῇ χρυσέην Ἀφροδίτην,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,51,,καὶ πόθον ἀργαλέον καὶ γυιοβόρους μελεδώνας·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,52,,ἐν δὲ θέμεν κύνεόν τε νόον καὶ ἐπίκλοπον ἦθος,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,53,,"Ἑρμείην ἤνωγε, διάκτορον Ἀργεϊφόντην.",,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,54,,ὣς ἔφαθʼ· οἳ δʼ ἐπίθοντο Διὶ Κρονίωνι ἄνακτι.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,55,,αὐτίκα δʼ ἐκ γαίης πλάσσεν κλυτὸς Ἀμφιγυήεις,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,56,,παρθένῳ αἰδοίῃ ἴκελον Κρονίδεω διὰ βουλάς·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,57,,ζῶσε δὲ καὶ κόσμησε θεὰ γλαυκῶπις Ἀθήνη·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,58,,ἀμφὶ δέ οἱ Χάριτές τε θεαὶ καὶ πότνια Πειθὼ,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,59,,ὅρμους χρυσείους ἔθεσαν χροΐ· ἀμφὶ δὲ τήν γε,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,60,,Ὧραι καλλίκομοι στέφον ἄνθεσιν εἰαρινοῖσιν·,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,61,,πάντα δέ οἱ χροῒ κόσμον ἐφήρμοσε Παλλὰς Ἀθήνη.,,
http://ns.inria.fr/zoomathia/Hesiod/works_and_days/1,Paragraph,62,,ἐν δʼ ἄρα οἱ στήθεσσι διάκτορος Ἀργεϊφόντης,,
