parent_uri,type,id,title,child
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,1,1,http://ns.inria.fr/zoomathia/Aesop/fabulae/1/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,1,1,http://ns.inria.fr/zoomathia/Aesop/fabulae/1/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,2,2,http://ns.inria.fr/zoomathia/Aesop/fabulae/2/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,2,2,http://ns.inria.fr/zoomathia/Aesop/fabulae/2/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/3
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,3,3,http://ns.inria.fr/zoomathia/Aesop/fabulae/3/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/4
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,4,4,http://ns.inria.fr/zoomathia/Aesop/fabulae/4/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,4,4,http://ns.inria.fr/zoomathia/Aesop/fabulae/4/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/5
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,5,4b,http://ns.inria.fr/zoomathia/Aesop/fabulae/5/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/6
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,6,5,http://ns.inria.fr/zoomathia/Aesop/fabulae/6/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,6,5,http://ns.inria.fr/zoomathia/Aesop/fabulae/6/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/7
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,7,6,http://ns.inria.fr/zoomathia/Aesop/fabulae/7/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,7,6,http://ns.inria.fr/zoomathia/Aesop/fabulae/7/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/8
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,8,7,http://ns.inria.fr/zoomathia/Aesop/fabulae/8/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,8,7,http://ns.inria.fr/zoomathia/Aesop/fabulae/8/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/9
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,9,8,http://ns.inria.fr/zoomathia/Aesop/fabulae/9/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,9,8,http://ns.inria.fr/zoomathia/Aesop/fabulae/9/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/10
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,10,9,http://ns.inria.fr/zoomathia/Aesop/fabulae/10/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,10,9,http://ns.inria.fr/zoomathia/Aesop/fabulae/10/2
http://ns.inria.fr/zoomathia/Aesop/fabulae,Oeuvre,fabulae,Fabulae,http://ns.inria.fr/zoomathia/Aesop/fabulae/11
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,11,10,http://ns.inria.fr/zoomathia/Aesop/fabulae/11/1
http://ns.inria.fr/zoomathia/Aesop/fabulae,Fabula,11,10,http://ns.inria.fr/zoomathia/Aesop/fabulae/11/2
