parent_uri,type,id,title,text
http://ns.inria.fr/zoomathia/Aesop/fabulae/1,Paragraph,1,,"Ἀγαθὰ πάντα ὑπὸ τῶν κακῶν ἐδιώχθη, ὡς ἀσθενῆ ὄντα· εἰς οὐρανὸν δὲ ἀνῆλθον. Καὶ τἀγαθὰ ἠρώτησαν τὸν Δία, πῶς εἶναι δεῖ μετὰ ἀνθρώπων. Ὁ δὲ εἶπε, μὴ μετʼ ἀλλήλων πάντα, ἓν δὲ καθʼ ἓν τοῖς ἀνθρώποις ἐπέρχεσθαι. Διὰ τοῦτο τὰ μὲν κακὰ συνεχῆ τοῖς ἀν- θρώποις, ὡς πλησίον ὄντα, ἐπέρχεται, τὰ δὲ ἀγαθὰ βράδιον ἐξ οὐρανοῦ κάτεισι."
http://ns.inria.fr/zoomathia/Aesop/fabulae/1,Paragraph,2,,"Ὁ λόγος δηλοῖ, ὅτι ἀγαθῷ μὲν οὐδεὶς ταχέως ἐπι- τυγχάνει, ὑπὸ δὲ τῶν κακῶν ἕκαστος καθʼ ἑκάστην πλήττεται."
http://ns.inria.fr/zoomathia/Aesop/fabulae/2,Paragraph,1,,"Ξύλινόν τις Ἑρμῆν κατασκευάσας, προσενεγκὼν ἐπώλει. Μηδενὸς δὲ ὠνητοῦ προσιόντος, ἐκκαλέσασθαί τινας βουλόμενος ἐβόα, ὡς ἀγαθοποιὸν δαίμονα καὶ κέρδους τηρητικὸν πιπράσκει. Τῶν δὲ παρατυχόντων τινὸς εἰπόντος πρὸς αὐτόν· ,,ὦ οὗτος, καὶ τί τοῦτον ὄντα τοιοῦτον πωλεῖς, δέον τῶν παρʼ αὐτοῦ ὠφελειῶν ἀπολαύειν ; ἀπεκρίνατο· ,, ὅτι ἐγὼ μὲν ταχείας ὠφε- λείας τινὸς ἐπιδέομαι, αὐτὸς δὲ βραδέως εἴωθε τὰ κέρ- δη περιποιεῖν."
http://ns.inria.fr/zoomathia/Aesop/fabulae/2,Paragraph,2,,Πρὸς ἄνδρα αἰσχροκερδῆ καὶ τὸ θεῖον περιφρο- νοῦντα.
http://ns.inria.fr/zoomathia/Aesop/fabulae/3,Paragraph,1,,"Γεωργός τις ἐπʼ ἀγροῦ γεγηρακὼς, ἐπεὶ μηδέποτε εἰσῆλθεν εἰς ἄστυ, παρεκάλει τοὺς οἰκείους τοῦτο θεά- σασθαι. Οἱ δὲ ζεύξαντες ὀνάρια καὶ ἐπὶ τῆς ἀπήνης αὐ- τὸν ἀναβιβασάμενοι, μόνον ἐκέλευσαν ἐλαύνειν. Ὁδεύ- οντι δὲ χειμῶνος καὶ θυέλλης τὸν ἀέρα καταλαβόντων καὶ ζόφου γενομένου, τὰ ὀνάρια τῆς ὁδοῦ πλανηθέντα εἴς τινα κρημνὸν ἐξετόπισαν τὸν πρεσβύτην. Ὁ δὲ μέλ - λων ἤδη κατακρημνίζεσθαι ,,ὦ Ζεῦ,“ εἶπε ,,τί ποτέ σε ἠδίκησα, ὅτι οὕτω παρὰ λόγον ἀπόλλυμαι, καὶ ταῦτα οὔθ ὐφʼ ἵππων γενναίων οὔθ’ ἡμιόνων ἀγαθῶν, ἀλλ’ ὀναρίων εὐτελεστάτων;“"
http://ns.inria.fr/zoomathia/Aesop/fabulae/4,Paragraph,1,,"Ὑπεράνωθεν πέτρας ἀετὸς ἐκαθέζετο, λαγωὸν θη- ρεῦσαι ζητῶν. Τοῦτον δέ τις ἔβαλε τοξεύσας· καὶ τὸ μὲν βέλος ἐντὸς αὐτοῦ εἰσῆλθεν, ἡ δὲ γλυφὶς σὺν τοῖς πτεροῖς πρὸ τῶν ὀφθαλμῶν εἱστήκει. Ὁ δὲ ἰδὼν ἔφη· „καὶ τοῦτό μοι ἑτέρα λύπη, τὸ τοῖς ἰδίοις πτεροῖς ἐνα- ποθνήσκειν.“"
http://ns.inria.fr/zoomathia/Aesop/fabulae/4,Paragraph,2,,"Ὁ μῦθος δηλοῖ, ὅτι δεινόν ἐστιν, ὅταν τις ἐκ τῶν ἰδίων κινδυνεύσῃ."
http://ns.inria.fr/zoomathia/Aesop/fabulae/5,Paragraph,1,,"Τοξότης ἀετοῦ κατεστοχάζετο, καὶ βέλος ἀφεὶς εἷλε τὸν ἀετόν. Ἐπιστραφεὶς δὲ ὁ ἀετὸς, καὶ τὸ βέλος ἰδὼν ἐπτερωμένον τοῖς οἰκείοις πτεροῖς, ἔφη· „τὰ παρʼ αὐτῶν τοῖς πολλοῖς πραγμάτων οἰκείων ἐπιβουλή.“"
http://ns.inria.fr/zoomathia/Aesop/fabulae/6,Paragraph,1,,"Ἀετὸς καὶ ἀλώπηξ φιλεῖν ἀλλήλους συνθέμενοι, πλησίον ἑαυτῶν οἰκεῖν διέγνωσαν, βεβαίωσιν φιλίας τὴν συνήθειαν ποιούμενοι. Καὶ δὴ ὁ μὲν ἀναβὰς ἐπί τι περίμηκες δένδρον ἐνεοττοποιήσατο· ἡ δὲ εἰσελθοῦσα εἰς τὸν ὑποκείμενον θάμνον ἔτεκεν. Ἐξελθούσης δέ ποτε αὐτῆς ἐπὶ νομὴν, ὁ ἀετὸς ἀπορῶν τροφῆς, κατα- πτὰς εἰς τὸν θάμνον καὶ τὰ γεννήματα ἀναρπάσας, μετὰ τῶν αὑτοῦ νεοττῶν κατεθοινήσατο. Ἡ δʼἀλώπηξ ἐπαν- ελθοῦσα ὡς ἔγνω τὸ πραχθὲν, οὐ μᾶλλον ἐπὶ τῷ τῶν νεοττῶν θανάτῳ ἐλυπήθη, ὅσον ἐπὶ τῷ τῆς ἀμύνης ἀπό- ρῳ· χερσαία γὰρ οὖσα πτηνὸν διώκειν ἠδυνάτει. Διὸ πόῤῥωθεν στᾶσα, ὃ μόνον τοῖς ἀσθενέσι καὶ ἀδυνάτοις ὑπολείπεται, τῷ ἐχθρῷ κατηρᾶτο. Συνέβη δʼ αὐτῷ τῆς εἰς τὴν φιλίαν ἀσεβείας οὐκ εἰς μακρὰν δίκην ὑπελθεῖν· θυόντων γάρ τινων αἶγα ἐπʼ ἀγροῦ, καταπτὰς ἀπὸ τοῦ βωμοῦ σπλάγχνον ἔμπυρον ἀνήνεγκεν· οὐ ὗ κομισθέντος εἰς τὴν καλιὰν, σφοδρὸς ἐμπεσὼν ἄνεμος ἐκ λεπτοῦ καὶ παλαιοῦ κάρφους λαμπρὰν φλόγα ἀνῆψε· καὶ διὰ τοῦτο καταφλεχθέντες οἱ νεοττοὶ καὶ γὰρ ἦσαν ἔτι ἀπτῆνες οἱ ἀετιδεῖς ἐπὶ τὴν γῆν κατέπεσον. Καὶ ἡ ἀλώπηξ προσδραμοῦσα ἐν ὄψει τοῦ ἀετοῦ πάντας αὐτοὺς κατέ- φαγεν."
http://ns.inria.fr/zoomathia/Aesop/fabulae/6,Paragraph,2,,"λόγος δηλοῖ, ὅτι οἱ φιλίαν παρασπονδοῦντες, κἄν τὴν τῶν ἠδικημένων ἐκφύγωσι κόλασιν διʼ ἀσθέ- νειαν, ἀλλ’ οὖν γε τὴν ἐκ θεοῦ τιμωρίαν διακρούονται οὐδʼ ὅλως."
