paragraph_uri,concept_uri,mention,score,origin
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Zeus,Zeus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Gentile,gentile,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Fat,fat,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Courage,Courage,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/1/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,https://www.wikidata.org/wiki/Q3118277,Gryllus,0.7866,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Zeus,Zeus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Greek_mythology,Greek,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/James_T._Kirk,Kirk,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/God,God,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/2/text/1,http://dbpedia.org/resource/Gryllus,Gryllus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Cyclopes,Cyclopes,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Aegina,Aeginetan,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Ithaca,Ithaca,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/3/text/1,http://dbpedia.org/resource/Gryllus,Gryllus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q47231,Odysseus,0.8799,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q1320718,Theseus,0.8787,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q151480,Sphinx,0.6859,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q59798,Ficus,0.8103,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q27613,Cadmeans,0.9074,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q37340,Apollo,0.7922,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,https://www.wikidata.org/wiki/Q75459,Delphi,0.876,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Moose,elk,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Thymus,thymus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Slavery,slavery,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Thymus,thymus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Odysseus,Odysseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Moose,elk,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Theseus,Theseus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Sphinx,Sphinx,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Serpent_symbolism,snake,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Apollo,Apollo,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Delphi,Delphi,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Toyota_Carina,Carina,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Wine,wine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Moose,elk,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Onyx,onyx,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/4/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,https://www.wikidata.org/wiki/Q618488,Aphrodisia,0.8138,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Gryllus,Gryllus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Sine_and_cosine,sine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Circe,Circe,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Ancient_Egypt,Egypt,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Goat,goat,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Aphrodite,Aphrodite,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Penelope,Penelope,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/5/text/1,http://dbpedia.org/resource/Penelope,Penelope,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Simon_Critchley,infinitely demanding,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Phrixus,Phryxus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Priam,Priam,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Crete,Crete,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Chlamys,chlamys,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Names_of_God_in_Judaism,God,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Clay,clay,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/6/text/1,http://dbpedia.org/resource/Soul,soul,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q128176,King Agamemnon,0.6304,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q8257871,Boeotia,0.9159,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q3622255,Argynnus,0.9161,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q122248,Heracles,0.8839,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q37340,Apollo,0.7922,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q41746,Achilles,0.7952,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q129866,Minotaurs,0.6077,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,https://www.wikidata.org/wiki/Q110639756,Centaurs,0.7844,wikidata
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Dowry,dowry,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Incense,incense,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Cinnamon,cinnamon,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Traditional_Chinese_medicine,medicine,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Estrous_cycle,estrus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Puberty,puberty,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Aphrodite,Aphrodite,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Agamemnon,Agamemnon,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Boeotia,Boeotia,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Argynnus,Argynnus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Heracles,Heracles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Dome,dome,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Apollo,Apollo,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Achilles,Achilleus,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Achilles,Achilles,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Alectryon_(mythology),Alectryon,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/7/text/1,http://dbpedia.org/resource/Aphrodisiac,aphrodisiac,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Deer,deer,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Gluttony,gluttony,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Omnivore,omnivorous,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Hunger,satiety,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Eagle,eagle,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/8/text/1,http://dbpedia.org/resource/Dragon,dragon,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/9/text/1,http://dbpedia.org/resource/Inbreeding,inbred,0.6,DBpedia
http://ns.inria.fr/zoomathia/Plutarch/bruta_animalia_ratione_uti/1/9/text/1,http://dbpedia.org/resource/Oregano,oregano,0.6,DBpedia
