paragraph_uri,concept_uri,mention,score,origin
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105944&idt=th310,locusts,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105944&idt=th310,locusts,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=pcrt4otVkR3bqD&idt=th310,doors,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=106004&idt=th310,wild,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=pcrt82lj1bBlxj&idt=th310,brine,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=5047&idt=th310,bats,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=107538&idt=th310,trees,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105944&idt=th310,locusts,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105402&idt=th310,smell,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105865&idt=th310,wings,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=pcrtbnf4dSz1IR&idt=th310,sun,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=pcrt2t2EtFSnPv&idt=th310,scorpion,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105850&idt=th310,flight,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105927&idt=th310,ants,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=pcrt9vNUqRWTWt&idt=th310,taught,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105944&idt=th310,locusts,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105255&idt=th310,sleep,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105944&idt=th310,locust,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=105406&idt=th310,touch,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,https://opentheso.huma-num.fr/?idc=107576&idt=th310,water,1,zoomathia_match
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Classical_antiquity,ancients,0.9999933320481824,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Driving,drive,0.6217320696218364,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Locust,locusts,1.0,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Natural_selection,select,0.8025949729746188,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Cloud,cloud,0.9855120553448269,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Locust,locusts,1.0,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Second_Coming,coming,0.9978178526056546,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Person,persons,0.9918712279023156,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Wh-movement,remain,0.9994414946046485,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Silence,quiet,1.0,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Door,doors,0.9922877629175618,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Suddenly_(1954_film),suddenly,0.36606742560286765,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Landing_of_the_first_Filipinos,arrive,0.998648633744216,DBpedia
http://ns.inria.fr/zoomathia/CASSIANUS_BASSUS/geoponica/e/13/1/text/1,http://dbpedia.org/resource/Observation,observed,0.99597296249273,DBpedia
