id,oeuvre_id,nom_fichier,format,langue,statut,source
1,25,tlg0614.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
2,70,2_eng_p5.xml,TEI P5,anglais,Disponible,CLTK greek_text_perseus
3,70,2_gk_p5.xml,TEI P5,grec,Disponible,CLTK greek_text_perseus
4,47,phi0975.phi001.perseus-eng1.xml,TEI P5,anglais,Disponible,Perseus Digital Library
5,47,phi0975.phi001.perseus-lat1-p5.xml,TEI P5,latin,Disponible,Perseus Digital Library
6,77,varro.rr1_tei.xml,TEI P5,latin,Disponible,The Latin Library
9,34,tlg0016.tlg001.perseus-grc2_p5.xml,TEI P5,grec,Disponible,Perseus Digital Library
10,35,tlg0020.tlg002.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
11,83,tlg0022.tlg002.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
12,43,tlg0022.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
13,71,tlg0099.tlg001.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
20,130,ovid.fasti1_tei.xml,TEI P5,latin,Disponible,The Latin Library
74,31,eucherius_tei.xml,TEI P5,latin,Disponible,The Latin Library
76,33,grattius_tei.xml,TEI P5,latin,Disponible,The Latin Library
77,67,tlg2034.tlg003.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
79,24,avianus_tei.xml,TEI P5,latin,Disponible,The Latin Library
85,79,tlg0032.tlg003.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
88,22,tlg0553.tlg001.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
89,37,tlg0627.tlg004.perseus-grc2.xml,TEI P5,grec,Disponible,PerseusDL/canonical-greekLit
90,60,tlg0059.tlg031.perseus-eng2.xml,TEI P5,anglais,Disponible,Perseus Digital Library
91,60,tlg0059.tlg031.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
96,38,12_tei.xml,TEI P5,latin,Disponible,The Latin Library
117,72,Strato Fragmenta_tei.xml,TEI P5,grec,Disponible,DFHG Project
122,74,tlg0093.tlg010x03.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
123,29,tlg0060.tlg001.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
126,30,tlg0096.tlg002.First1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek
131,40,tlg0062.tlg027.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
135,23,tlg0008.tlg001.perseus-grc4_annotated.xml,TEI P5,grec,Disponible,Perseus Digital Library
141,62,tlg0007.tlg098.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus Digital Library
149,21,tlg0074.tlg003.perseus-grc2.xml,TEI P5,grec,Disponible,Perseus Digital Library
154,22,artemidorus_dreams_eng_tei.xml,TEI P5,anglais,Disponible,"Internet Archive 1755 (Robert Wood), via zoomathia_encoder.py"
155,80,tlg0032.tlg012.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus
156,80,xenophon_cavalry_commander_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
157,82,tlg0032.tlg014.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus
158,82,xenophon_hunting_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
159,122,xenophon_agesilaus_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
160,123,xenophon_constitution_lacedaemonians_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
161,124,xenophon_hiero_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
162,125,xenophon_ways_and_means_eng.xml,TEI P5,anglais,Disponible,"Perseus (Marchant), via Xenophon Minor Works"
163,66,plutarch_de_esu_carnium_eng_tei.xml,TEI P5,anglais,Disponible,"LacusCurtius (Goodwin, Loeb vol. XII, 1957)"
164,122,tlg0032.tlg009.perseus-grc2.xml,TEI P5,grec,Disponible,PerseusDL/canonical-greekLit
165,123,tlg0032.tlg010.perseus-grc2.xml,TEI P5,grec,Disponible,PerseusDL/canonical-greekLit
166,124,tlg0032.tlg008.perseus-grc2.xml,TEI P5,grec,Disponible,PerseusDL/canonical-greekLit
167,125,tlg0032.tlg011.perseus-grc2.xml,TEI P5,grec,Disponible,PerseusDL/canonical-greekLit
168,62,plutarch_de_amore_prolis_eng.xml,TEI P5,anglais,Disponible,Perseus (Goodwin)
169,64,tlg0007.tlg129.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus
170,64,plutarch_de_sollertia_animalium_eng.xml,TEI P5,anglais,Disponible,Perseus (Goodwin)
171,65,tlg0007.tlg130.perseus-grc1_p5.xml,TEI P5,grec,Disponible,Perseus
172,65,plutarch_bruta_animalia_eng.xml,TEI P5,anglais,Disponible,Perseus (Goodwin)
173,63,tlg0007.tlg125.perseus-grc1.xml,TEI P5,grec,Disponible,Perseus
176,19,tlg0086.tlg014.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek/Perseus
177,20,tlg0086.tlg029.perseus-grc1.xml,TEI P5,grec,Disponible,First1KGreek/Perseus
178,16,tlg0086.tlg030.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek/Perseus
179,18,tlg0086.tlg037.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek/Perseus
180,14,tlg0086.tlg041.1st1K-grc1.xml,TEI P5,grec,Disponible,First1KGreek/Perseus
