nom_fichier,code_zoo,nom_canonique,titre_original,etat,statut,langue,ancien_code,corpus
Aelian_On_the_Characteristics_of_Animals-eng.xml,zoo1/1e,AELIANUS SOPHISTES,Περὶ ζῴων ἠδιότητος,non audite,"EN ATTENTE - droits auteur a clarifier (trad. A. F. Scholfield 1958, Loeb Classical Library, Harvard University Press / William Heinemann)",anglais,tlg0545,absent
tlg0545.tlg001.perseus-grc1.xml,zoo1/1g,AELIANUS SOPHISTES,Περὶ ζῴων ἠδιότητος,Sans traduction anglaise,Disponible,grec,tlg0545,archive
babrius_complet_tei.xml,zoo12/1e,BABRIUS,Μυθίαμβοι Αἰσώπειοι,Partiel,Disponible,anglais,tlg0614,archive
tlg0614.tlg001.1st1K-grc1.xml,zoo12/1g,BABRIUS,Μυθίαμβοι Αἰσώπειοι,Partiel (76%),Disponible,grec,tlg0614,archive
basil_hexaemeron_jackson1895_eng_tei.xml,zoo13/2e,BASILIUS,Homiliae in Hexaemeron,Partiel,Disponible,anglais,tlg2040,archive
geoponica_complet_anglais_TRANSCRIT.xml,zoo14/1e,CASSIANUS BASSUS,Γεωπονικά,Partiel,Disponible,anglais,tlg4080,archive
geoponica_arnaud_tei.xml,zoo14/1g,CASSIANUS BASSUS,Γεωπονικά,Partiel (14%),Disponible,grec,tlg4080,archive
phi0845.phi002.perseus-eng1.xml,zoo15/1e,COLUMELLA,De re rustica,Partiel,Disponible,anglais,phi0845,archive
phi0845.phi002.perseus-lat1.xml,zoo15/1l,COLUMELLA,De re rustica,Partiel (25%),Disponible,latin,phi0845,archive
diodore_livre3_tei.xml,zoo16/1e,DIODORE,Βιβλιοθήκη ἱστορική,Partiel,Disponible,anglais,tlg0060,archive
tlg0060.tlg001.perseus-grc1.xml,zoo16/1g,DIODORE,Βιβλιοθήκη ἱστορική,Partiel (19%),Disponible,grec,tlg0060,archive
esopus_eng_tei.xml,zoo17/1e,ESOPUS,Μῦθοι,Partiel,Disponible,anglais,tlg0096,archive
tlg0096.tlg002.First1K-grc1.xml,zoo17/1g,ESOPUS,Μῦθοι,Partiel (30%),Disponible,grec,tlg0096,archive
galen_eng_complet_tei.xml,zoo19/1e,GALENUS,Περὶ φυσικῶν δυνάμεων,Partiel,Disponible,anglais,tlg0057,archive
galen_de_naturalibus_facultatibus_grc_chlt_tei.xml,zoo19/1g,GALENUS,Περὶ φυσικῶν δυνάμεων,Partiel (45%),Disponible,grec,tlg0057,archive
albertus_borgnet_texte_tei.xml,zoo2/1l,ALBERTUS MAGNUS,De animalibus,Sans traduction anglaise,Disponible - Livres XIII-XXVI,latin,viaf88125532,archive
herodotus_eng_tei.xml,zoo21/1e,HERODOTUS,Ἱστορία,Partiel,Disponible,anglais,tlg0016,archive
tlg0016.tlg001.perseus-grc2_p5.xml,zoo21/1g,HERODOTUS,Ἱστορία,Partiel (36%),Disponible,grec,tlg0016,archive
hierocles_hippiatrica_fragments_grc_extrait_zoo80.xml,zoo23/1g,HIEROCLES,Hippiatrica,Sans traduction anglaise,Disponible,grec,mirabile222866,archive
2e.xml,zoo24/2e,HIPPOCRATES,"Περὶ διαίτης, βιβλίον Β'",IA non relue,Disponible,anglais,tlg0627,archive
2g.xml,zoo24/2g,HIPPOCRATES,"Περὶ διαίτης, βιβλίον Β'",Partiel (100%),Disponible,grec,tlg0627,archive
isidore_etymologiae_12_anglais_IA.xml,zoo25/1e,ISIDORUS HISPALENSIS,Etymologiae,IA non relue,Disponible,anglais,stoa0159,archive
12_tei.xml,zoo25/1l,ISIDORUS HISPALENSIS,Etymologiae,Partiel (38%),Disponible,latin,stoa0159,archive
