nom_fichier,code_zoo,nom_canonique,titre_original,etat,langue,ancien_code
Aelian_On_the_Characteristics_of_Animals-eng.xml,zoo1/1e,AELIANUS SOPHISTES,Περὶ ζῴων ἠδιότητος,,anglais,tlg0545
tlg0545.tlg001.perseus-grc1.xml,zoo1/1g,AELIANUS SOPHISTES,Περὶ ζῴων ἠδιότητος,Sans traduction anglaise,grec,tlg0545
athenaeus_complet_eng_tei.xml,zoo10/1e,ATHENAEUS,Δειπνοσοφισταί,Partiel,anglais,tlg0008
tlg0008.tlg001.perseus-eng2.xml,zoo10/1e_2,ATHENAEUS,Δειπνοσοφισταί,,anglais,tlg0008
tlg0008.tlg001.perseus-grc4_annotated.xml,zoo10/1g,ATHENAEUS,Δειπνοσοφισταί,Partiel (94%),grec,tlg0008
avianus_anglais_TRANSCRIT.xml,zoo11/1e,AVIANUS,Fabulae,Complet,anglais,stoa004
avianus_tei.xml,zoo11/1l,AVIANUS,Fabulae,Complet,latin,stoa004
babrius_complet_tei.xml,zoo12/1e,BABRIUS,Μυθίαμβοι Αἰσώπειοι,Partiel,anglais,tlg0614
babrius_fables_eng_tei.xml,zoo12/1e_2,BABRIUS,Μυθίαμβοι Αἰσώπειοι,,anglais,tlg0614
tlg0614.tlg001.1st1K-grc1.xml,zoo12/1g,BABRIUS,Μυθίαμβοι Αἰσώπειοι,Partiel (76%),grec,tlg0614
basil_complet_tei.xml,zoo13/1e,BASILIUS,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,Complet,anglais,tlg2040
basile_homily7_eng_tei.xml,zoo13/1e_2,BASILIUS,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,,anglais,tlg2040
basile_homily8_eng_tei.xml,zoo13/1e_3,BASILIUS,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,,anglais,tlg2040
basile_homily9_eng_tei.xml,zoo13/1e_4,BASILIUS,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,,anglais,tlg2040
Basilius Homiliae in hexaemeron VII-VIII-IX_tei.xml,zoo13/1g,BASILIUS,Ὁμιλίαι εἰς τὴν Ἑξαήμερον,Complet,grec,tlg2040
basil_hexaemeron_jackson1895_eng_tei.xml,zoo13/2e,BASILIUS,Homiliae in Hexaemeron,Partiel,anglais,tlg2040
Basilius_Hexaemeron_tlg2040.001.xml,zoo13/2g,BASILIUS,Homiliae in Hexaemeron,,grec,tlg2040
geoponica_complet_anglais_TRANSCRIT.xml,zoo14/1e,CASSIANUS BASSUS,Γεωπονικά,Partiel,anglais,tlg4080
geoponica_arnaud_tei.xml,zoo14/1g,CASSIANUS BASSUS,Γεωπονικά,Partiel (14%),grec,tlg4080
phi0845.phi002.perseus-eng1.xml,zoo15/1e,COLUMELLA,De re rustica,Partiel,anglais,phi0845
phi0845.phi002.perseus-lat1.xml,zoo15/1l,COLUMELLA,De re rustica,Partiel (25%),latin,phi0845
diodore_livre3_tei.xml,zoo16/1e,DIODORE,Βιβλιοθήκη ἱστορική,Partiel,anglais,tlg0060
diodore_supplement_tei.xml,zoo16/1e_2,DIODORE,Βιβλιοθήκη ἱστορική,,anglais,tlg0060
diodorus_historical_library_eng_tei.xml,zoo16/1e_3,DIODORE,Βιβλιοθήκη ἱστορική,,anglais,tlg0060
tlg0060.tlg001.perseus-grc1.xml,zoo16/1g,DIODORE,Βιβλιοθήκη ἱστορική,Partiel (19%),grec,tlg0060
tlg0060.tlg001.perseus-grc2.xml,zoo16/1g_2,DIODORE,Βιβλιοθήκη ἱστορική,,grec,tlg0060
tlg0060.tlg001.perseus-grc3.xml,zoo16/1g_3,DIODORE,Βιβλιοθήκη ἱστορική,,grec,tlg0060
esopus_eng_tei.xml,zoo17/1e,ESOPUS,Μῦθοι,Partiel,anglais,tlg0096
aesop_fables_eng_tei.xml,zoo17/1e_2,ESOPUS,Μῦθοι,,anglais,tlg0096
tlg0096.tlg002.First1K-grc1.xml,zoo17/1g,ESOPUS,Μῦθοι,Partiel (30%),grec,tlg0096
eucherius_tei.xml,zoo18/1l,EUCHERIUS,Formulae spiritalis intellegentiae,Complet,latin,stoa0117
galen_eng_complet_tei.xml,zoo19/1e,GALENUS,Περὶ φυσικῶν δυνάμεων,Partiel,anglais,tlg0057
galen_de_naturalibus_facultatibus_grc_chlt_tei.xml,zoo19/1g,GALENUS,Περὶ φυσικῶν δυνάμεων,Partiel (45%),grec,tlg0057
albertus_borgnet_texte_tei.xml,zoo2/1l,ALBERTUS MAGNUS,De animalibus,Sans traduction anglaise,latin,viaf88125532
albertus_stadler_texte_tei.xml,zoo2/1l_2,ALBERTUS MAGNUS,De animalibus,,latin,viaf88125532
grattius_eng_tei.xml,zoo20/1e,GRATTIUS,Cynegetica,Complet,anglais,phi0887
grattius_tei.xml,zoo20/1l,GRATTIUS,Cynegetica,,latin,phi0887
grattius_haupt_tei.xml,zoo20/1l_2,GRATTIUS,Cynegetica,Complet,latin,phi0887
herodotus_eng_tei.xml,zoo21/1e,HERODOTUS,Ἱστορία,Partiel,anglais,tlg0016
tlg0016.tlg001.perseus-grc2_p5.xml,zoo21/1g,HERODOTUS,Ἱστορία,Partiel (36%),grec,tlg0016
hesiodus_wd_eng_tei.xml,zoo22/1e,HESIODUS,Ἔργα καὶ ἡμέραι,,anglais,tlg0020
tlg0020.tlg002.perseus-eng2.xml,zoo22/1e_2,HESIODUS,Ἔργα καὶ ἡμέραι,,anglais,tlg0020
tlg0020.tlg002.perseus-grc2.xml,zoo22/1g,HESIODUS,Ἔργα καὶ ἡμέραι,Complet,grec,tlg0020
